"","title","release_date"
"721","Barb Wire","1996-05-02"
"722","Le Garçu","1995-10-31"
"723","Honeymoon","1996-04-11"
"724","Ghost in the Shell","1995-11-18"
"725","Thinner","1996-10-25"
"726","Spy Hard","1996-05-24"
"727","Brothers in Trouble","1995-08-23"
"728","A Close Shave","1995-12-24"
"729","Force of Evil","1948-12-25"
"730","The Stupids","1996-08-30"
"731","The Arrival","1996-05-31"
"732","The Man from Down Under","1943-08-04"
"733","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","1964-01-29"
"734","Careful","1992-09-30"
"735","Vermont Is for Lovers",""
"736","A Month by the Lake","1995-09-11"
"737","Gold Diggers: The Secret of Bear Mountain","1995-11-03"
"738","Kim","1950-12-07"
"739","Carmen Miranda: Bananas Is My Business","1995-04-13"
"740","Ashes of Time","1994-09-16"
"741","The Jar","1994-04-01"
"742","Maya Lin: A Strong Clear Vision","1995-11-10"
"743","Stalingrad","1993-01-21"
"744","The Phantom","1996-06-06"
"745","Striptease","1996-06-28"
"746","The Last of the High Kings","1996-12-06"
"747","Heavy","1995-01-20"
"748","Jack","1996-08-09"
"749","I Shot Andy Warhol","1996-05-01"
"750","The Grass Harp","1995-09-10"
"751","Someone Else's America","1995-09-09"
"752","Life is Rosy","1987-11-17"
"753","Quartier Mozart","1992-05-26"
"754","Touki Bouki","1973-07-01"
"755","God's Gift","1982-01-01"
"756","Spirits of the Dead","1968-05-16"
"757","Babyfever","1994-05-04"
"758","Pharaoh's  Army","1995-01-01"
"759","Trainspotting","1996-02-23"
"760","Til There Was You","1997-05-30"
"761","Independence Day","1996-06-25"
"762","Stealing Beauty","1996-03-29"
"763","The Fan","1996-08-15"
"764","The Hunchback of Notre Dame","1996-06-21"
"765","The Cable Guy","1996-06-10"
"766","Kingpin","1996-07-04"
"767","Eraser","1996-06-21"
"768","The Gate of Heavenly Peace","1995-01-01"
"769","The Nutty Professor","1996-06-26"
"770","I, the Worst of All","1990-08-09"
"771","An Unforgettable Summer","1994-05-15"
"772","A Hungarian Fairy Tale","1987-01-01"
"773","My Life and Times With Antonin Artaud","1993-01-01"
"774","Midnight Dancers","1994-09-09"
"775","Somebody to Love","1994-09-27"
"776","A Very Natural Thing","1974-01-01"
"777","The Old Lady Who Walked in the Sea","1991-09-18"
"778","Daylight","1996-12-06"
"779","The Frighteners","1996-07-18"
"780","Lone Star","1996-06-21"
"781","Harriet the Spy","1996-07-10"
"782","Phenomenon","1996-07-05"
"783","Walking and Talking","1996-07-17"
"784","She's the One","1996-08-26"
"785","A Time to Kill","1996-07-24"
"786","American Buffalo","1996-09-13"
"787","Rendezvous in Paris","1995-03-22"
"788","Alaska","1996-08-14"
"789","Fled","1996-07-19"
"790","Kazaam","1996-07-17"
"791","Magic Hunter","1994-10-23"
"792","Larger Than Life","1996-10-31"
"793","A Boy Called Hate","1996-05-22"
"794","Power 98","1996-05-17"
"795","Two Deaths","1995-09-10"
"796","A Very Brady Sequel","1996-08-23"
"797","Stefano Quantestorie","1993-05-26"
"798","Death in the Garden","1956-09-21"
"799","Hedd Wyn","1992-01-01"
"800","La Collectionneuse","1967-03-02"
"801","Kaspar Hauser","1993-09-11"
"802","Regular Guys","1996-05-30"
"803","Diebinnen","1996-06-20"
"804","The Convent","1995-09-06"
"805","The Adventures of Pinocchio","1996-07-26"
"806","Joe's Apartment","1996-07-26"
"807","The First Wives Club","1996-09-20"
"808","Stonewall","1995-10-01"
"809","Ransom","1996-11-08"
"810","High School High","1996-10-25"
"811","Phat Beach","1996-08-02"
"812","Foxfire","1996-08-23"
"813","Chain Reaction","1996-08-02"
"814","Matilda","1996-08-02"
"815","Emma","1996-08-02"
"816","The Crow: City of Angels","1996-08-29"
"817","House Arrest","1996-08-14"
"818","Eyes Without a Face","1960-01-11"
"819","Bordello of Blood","1996-08-16"
"820","Lotto Land","1995-06-01"
"821","The Story of Xinghua","1994-03-30"
"822","The Day the Sun Turned Cold","1994-01-01"
"823","Flirt","1995-09-14"
"824","The Big Squeeze","1996-09-06"
"825","The Spitfire Grill","1996-08-23"
"826","Escape from L.A.","1996-08-09"
"827","Cyclo","1995-01-01"
"828","Basquiat","1996-08-09"
"829","Tin Cup","1996-08-16"
"830","Dingo","1991-06-02"
"831","The Ballad of Narayama","1958-06-01"
"832","Every Other Weekend","1990-08-28"
"833","Mille bolle blu","1993-01-01"
"834","Crows and Sparrows","1949-01-01"
"835","The Godfather","1972-03-14"
"836","Maybe... Maybe Not","1994-10-05"
"837","Police Story 3: Supercop","1992-07-04"
"838","Manny & Lo","1996-01-22"
"839","Wife","1953-04-29"
"840","Small Faces","1996-04-05"
"841","Bound","1996-09-13"
"842","Carpool","1996-08-23"
"843","Death in Brunswick","1990-11-08"
"844","Kansas City","1996-08-16"
"845","Gone Fishin'","1997-05-30"
"846","Lover's Knot","1996-07-12"
"847","Vive L'Amour","1994-09-02"
"848","Shadow of Angels","1976-01-31"
"849","Killer: A Journal of Murder","1996-09-06"
"850","Nothing to Lose","1994-01-01"
"851","Project S","1993-10-21"
"852","Girls Town","1996-08-21"
"853","Bye-Bye","1995-08-30"
"854","The Relic","1997-01-10"
"855","The Island of Dr. Moreau","1996-08-23"
"856","First Kid","1996-08-30"
"857","The Trigger Effect","1996-08-30"
"858","Sweet Nothing","1995-06-08"
"859","Bogus","1996-09-06"
"860","Bulletproof","1996-09-06"
"861","Talk of Angels","1998-10-30"
"862","The Land Before Time III: The Time of the Great Giving","1995-03-16"
"863","1-900","1994-09-01"
"864","Baton Rouge","1988-10-08"
"865","Halloween: The Curse of Michael Myers","1995-09-29"
"866","Twelfth Night","1996-10-31"
"867","Mother Night","1996-11-01"
"868","Liebelei","1933-03-10"
"869","Venice","2010-05-25"
"870","Wild Reeds","1994-05-05"
"871","For Whom the Bell Tolls","1943-07-12"
"872","The Philadelphia Story","1940-12-05"
"873","Singin' in the Rain","1952-04-10"
"874","An American in Paris","1951-08-08"
"875","Funny Face","1957-02-13"
"876","Breakfast at Tiffany's","1961-10-05"
"877","Vertigo","1958-05-09"
"878","Rear Window","1954-08-01"
"879","It Happened One Night","1934-02-22"
"880","Gaslight","1944-05-04"
"881","The Gay Divorcee","1934-10-12"
"882","North by Northwest","1959-07-07"
"883","The Apartment","1960-06-15"
"884","Some Like It Hot","1959-03-18"
"885","Charade","1963-12-05"
"886","Casablanca","1942-11-26"
"887","The Maltese Falcon","1941-11-18"
"888","My Fair Lady","1964-10-21"
"889","Sabrina","1954-09-28"
"890","Roman Holiday","1953-09-02"
"891","The Little Princess","1939-03-17"
"892","Meet Me in St. Louis","1944-11-23"
"893","The Wizard of Oz","1939-08-15"
"894","Gone with the Wind","1939-12-15"
"895","My Favorite Year","1982-10-01"
"896","Sunset Boulevard","1950-08-10"
"897","Citizen Kane","1941-04-30"
"898","2001: A Space Odyssey","1968-04-10"
"899","Golden Earrings","1947-08-27"
"900","All About Eve","1950-11-09"
"901","The Women","1939-01-01"
"902","Rebecca","1940-04-12"
"903","Foreign Correspondent","1940-08-16"
"904","Notorious","1946-08-15"
"905","Spellbound","1945-12-28"
"906","An Affair to Remember","1957-07-11"
"907","To Catch a Thief","1955-08-03"
"908","Father of the Bride","1950-06-16"
"909","The Band Wagon","1953-08-07"
"910","Ninotchka","1939-10-06"
"911","Love in the Afternoon","1957-06-30"
"912","Gigi","1958-04-15"
"913","The Reluctant Debutante","1958-01-01"
"914","The Adventures of Robin Hood","1938-05-13"
"915","The Mark of Zorro","1940-11-08"
"916","Laura","1944-10-11"
"917","The Ghost and Mrs. Muir","1947-06-26"
"918","Lost Horizon","1937-09-01"
"919","Top Hat","1935-09-06"
"920","To Be or Not to Be","1942-03-05"
"921","My Man Godfrey","1936-09-17"
"922","Giant","1956-10-10"
"923","East of Eden","1955-03-09"
"924","The Thin Man","1934-05-25"
"925","His Girl Friday","1940-01-18"
"926","Around the World in Eighty Days","1956-10-17"
"927","It's a Wonderful Life","1946-12-20"
"928","Mr. Smith Goes to Washington","1939-10-19"
"929","Bringing Up Baby","1938-02-18"
"930","Penny Serenade","1941-04-24"
"931","The Scarlet Letter","1926-08-09"
"932","Lady of Burlesque","1943-06-01"
"933","Of Human Bondage","1934-07-20"
"934","Angel on My Shoulder","1946-09-20"
"935","Little Lord Fauntleroy","1936-03-06"
"936","They Made Me a Criminal","1939-01-28"
"937","The Inspector General","1949-12-31"
"938","Angel and the Badman","1947-02-15"
"939","The 39 Steps","1935-06-01"
"940","A Walk in the Sun","1945-12-25"
"941","The Outlaw","1943-02-05"
"942","Night of the Living Dead","1968-10-01"
"943","The African Queen","1951-12-03"
"944","Beat the Devil","1953-11-24"
"945","Cat on a Hot Tin Roof","1958-02-17"
"946","The Last Time I Saw Paris","1954-01-01"
"947","Meet John Doe","1941-03-12"
"948","Algiers","1938-06-28"
"949","Something to Sing About","1937-09-30"
"950","A Farewell to Arms","1932-12-08"
"951","Moonlight Murder","1936-03-27"
"952","Nothing Personal","1996-10-18"
"953","Yes, Madam","1985-01-01"
"954","Dangerous Ground","1997-02-12"
"955","Picnic","1955-11-18"
"956","Madagascar Skin","1995-01-26"
"957","The Pompatus of Love","1996-07-26"
"958","Small Wonders","1995-01-01"
"959","Fly Away Home","1996-09-13"
"960","Bliss","1997-04-14"
"961","Grace of My Heart","1996-09-13"
"962","Brother of Sleep","1995-09-08"
"963","Maximum Risk","1996-09-13"
"964","Michael Collins","1996-10-25"
"965","The Rich Man's Wife","1996-09-13"
"966","Infinity","1996-10-04"
"967","Big Night","1996-09-20"
"968","Last Man Standing","1996-09-20"
"969","Caught","1996-01-24"
"970","Set It Off","1996-11-06"
"971","2 Days in the Valley","1996-09-11"
"972","Curdled","1996-09-06"
"973","L'associé","1979-08-22"
"974","Ed's Next Move","1996-10-18"
"975","Extreme Measures","1996-09-27"
"976","The Glimmer Man","1996-10-04"
"977","D3: The Mighty Ducks","1996-10-04"
"978","The Chamber","1996-10-11"
"979","The Apple Dumpling Gang","1975-07-01"
"980","Davy Crockett, King of the Wild Frontier","1955-05-25"
"981","Escape to Witch Mountain","1975-03-21"
"982","The Love Bug","1968-12-22"
"983","Herbie Rides Again","1974-02-14"
"984","Old Yeller","1957-12-25"
"985","The Parent Trap","1961-06-12"
"986","Pollyanna","1960-05-19"
"987","Homeward Bound: The Incredible Journey","1993-02-03"
"988","The Shaggy Dog","1959-03-19"
"989","Swiss Family Robinson","1960-12-21"
"990","That Darn Cat!","1965-12-02"
"991","20,000 Leagues Under the Sea","1954-12-23"
"992","Cool Runnings","1993-09-30"
"993","Angels in the Outfield","1994-07-15"
"994","Cinderella","1950-03-04"
"995","Winnie the Pooh and the Blustery Day","1968-12-20"
"996","The Three Caballeros","1944-07-21"
"997","The Sword in the Stone","1963-12-25"
"998","So Dear to My Heart","1948-11-29"
"999","Robin Hood: Prince of Thieves","1991-06-14"
"1000","Mary Poppins","1964-08-27"
"1001","Dumbo","1941-10-22"
"1002","Pete's Dragon","1977-11-03"
"1003","Bedknobs and Broomsticks","1971-10-07"
"1004","Alice in Wonderland","1951-07-03"
"1005","The Fox and the Hound","1981-07-10"
"1006","Freeway","1996-08-23"
"1007","The Sound of Music","1965-03-02"
"1008","Die Hard","1988-07-15"
"1009","The Lawnmower Man","1992-03-05"
"1010","Unhook the Stars","1996-09-04"
"1011","Synthetic Pleasures","1995-09-13"
"1012","The Secret Agent","1996-11-08"
"1013","Secrets & Lies","1996-05-24"
"1014","That Thing You Do!","1996-10-04"
"1015","To Gillian on Her 37th Birthday","1996-10-18"
"1016","Surviving Picasso","1996-09-04"
"1017","Love Is All There Is","1996-05-10"
"1018","Beautiful Thing","1996-06-21"
"1019","The Long Kiss Goodnight","1996-10-11"
"1020","The Ghost and the Darkness","1996-10-11"
"1021","Looking for Richard","1996-10-11"
"1022","Trees Lounge","1996-10-11"
"1023","The Proprietor","1996-09-09"
"1024","Normal Life","1996-01-26"
"1025","Get on the Bus","1996-10-16"
"1026","Shadow Conspiracy","1997-01-31"
"1027","Jude","1996-02-06"
"1028","Everyone Says I Love You","1996-12-06"
"1029","Bitter Sugar","1996-02-10"
"1030","Romeo + Juliet","1996-10-31"
"1031","Swingers","1996-10-18"
"1032","Sleepers","1996-10-18"
"1033","The Sunchaser","1996-05-29"
"1034","Johns","1996-12-10"
"1035","Aladdin and the King of Thieves","1996-05-20"
"1036","The Woman in Question","1952-02-18"
"1037","Shall We Dance","1937-05-07"
"1038","A Damsel in Distress","1937-11-19"
"1039","Crossfire","1947-07-22"
"1040","Murder, My Sweet","1944-12-09"
"1041","Macao","1952-04-30"
"1042","For the Moment","1993-10-01"
"1043","Willy Wonka & the Chocolate Factory","1971-06-29"
"1044","The Sexual Life of the Belgians","1994-01-28"
"1045","The Innocents","1961-12-25"
"1046","Sleeper","1973-12-17"
"1047","Bananas","1971-04-28"
"1048","A Fish Called Wanda","1988-07-15"
"1049","Life of Brian","1979-08-17"
"1050","Victor/Victoria","1982-04-25"
"1051","The Candidate","1972-08-23"
"1052","The Great Race","1965-07-01"
"1053","Bonnie and Clyde","1967-07-18"
"1054","The Old Man and the Sea","1958-10-07"
"1055","Dial M for Murder","1954-05-29"
"1056","Madame Butterfly","1995-11-22"
"1057","Dirty Dancing","1987-08-21"
"1058","Reservoir Dogs","1992-09-02"
"1059","Platoon","1986-12-18"
"1060","Weekend at Bernie's","1989-07-05"
"1061","Basic Instinct","1992-03-20"
"1062","The Doors","1991-03-01"
"1063","The Crying Game","1992-09-02"
"1064","Glengarry Glen Ross","1992-09-15"
"1065","Sophie's Choice","1982-12-08"
"1066","E.T. the Extra-Terrestrial","1982-04-03"
"1067","The Search for One-eye Jimmy","1994-11-14"
"1068","A Christmas Carol","1938-12-16"
"1069","Days of Thunder","1990-06-27"
"1070","Top Gun","1986-05-16"
"1071","American Strays","1996-09-12"
"1072","Rebel Without a Cause","1955-10-27"
"1073","A Streetcar Named Desire","1951-09-18"
"1074","Children of the Corn IV: The Gathering","1996-10-08"
"1075","The Leopard Son","1996-09-27"
"1076","Charm's  Incidents","1996-10-03"
"1077","Bird of Prey","1995-09-12"
"1078","Microcosmos","1996-05-20"
"1079","Palookaville","1995-09-07"
"1080","The Associate","1996-10-25"
"1081","The Funeral","1996-01-26"
"1082","The Sleepover","2013-10-12"
"1083","A Single Girl","1995-05-29"
"1084","The Eighth Day","1996-01-01"
"1085","North Star","1996-01-03"
"1086","Drunks","1997-03-14"
"1087","The People vs. Larry Flynt","1996-10-12"
"1088","Glory Daze","1995-10-01"
"1089","A Perfect Candidate","1996-06-19"
"1090","On Golden Pond","1981-12-04"
"1091","The Return of the Pink Panther","1975-05-21"
"1092","Drop Dead Fred","1991-04-19"
"1093","The Abyss","1989-08-09"
"1094","The Fog","1980-02-08"
"1095","Escape from New York","1981-05-22"
"1096","The Howling","1981-04-03"
"1097","Jean de Florette","1986-08-27"
"1098","Manon of the Spring","1986-11-19"
"1099","Johnny 100 Pesos","1993-01-01"
"1100","Private Benjamin","1980-10-06"
"1101","Monty Python and the Holy Grail","1975-03-13"
"1102","Hustler White","1996-07-19"
"1103","Dadetown","1995-09-02"
"1104","Everything Relative","1996-09-13"
"1105","Entertaining Angels - The Dorothy Day Story","1996-09-27"
"1106","Three Lives and Only One Death","1996-05-15"
"1107","The Line King: The Al Hirschfeld Story","1996-09-27"
"1108","Snowriders","1996-10-17"
"1109","Curtis's Charm","1995-09-18"
"1110","When We Were Kings","1996-10-25"
"1111","The Wrong Trousers","1993-12-17"
"1112","JLG/JLG: Self-Portrait in December","1995-03-08"
"1113","The Return of Martin Guerre","1982-05-12"
"1114","Faust","1994-09-10"
"1115","He Walked by Night","1948-11-24"
"1116","Raw Deal","1948-05-26"
"1117","T-Men","1947-12-15"
"1118","The Children Are Watching Us","1944-10-27"
"1119","Pastoral Symphony","1946-09-26"
"1120","Here Comes Cookie","1935-09-10"
"1121","Love In Bloom","1935-04-20"
"1122","Six of a Kind","1934-02-09"
"1123","The Tin Drum","1979-05-02"
"1124","The Ruling Class","1972-09-13"
"1125","Mina Tannenbaum","1994-03-02"
"1126","2 or 3 Things I Know About Her","1967-03-17"
"1127","The Bloody Child","1996-10-26"
"1128","Dear God","1996-11-01"
"1129","Bad Moon","1996-11-01"
"1130","American Dream","1990-09-28"
"1131","Best of the Best 3: No Turning Back","1995-05-17"
"1132","Bob Roberts","1992-09-04"
"1133","Cinema Paradiso","1988-11-17"
"1134","The Cook, the Thief, His Wife & Her Lover","1989-09-10"
"1135","Dead Tired","1994-05-18"
"1136","Delicatessen","1991-04-17"
"1137","The Double Life of Veronique","1991-05-15"
"1138","Enchanted April","1991-11-06"
"1139","Paths of Glory","1957-09-18"
"1140","The Grifters","1990-09-14"
"1141","Hear My Song","1991-12-27"
"1142","The Shooter","1997-10-23"
"1143","The English Patient","1996-11-14"
"1144","Mediterraneo","1991-01-31"
"1145","My Left Foot: The Story of Christy Brown","1989-07-21"
"1146","Sex, Lies, and Videotape","1989-08-18"
"1147","Passion Fish","1992-12-11"
"1148","Strictly Ballroom","1992-08-20"
"1149","The Thin Blue Line","1988-08-28"
"1150","Tie Me Up! Tie Me Down!","1989-12-12"
"1151","Madonna: Truth or Dare","1991-05-10"
"1152","Paris is Burning","1990-03-13"
"1153","One Flew Over the Cuckoo's Nest","1975-11-18"
"1154","Up in Smoke","1978-01-01"
"1155","The Empire Strikes Back","1980-05-17"
"1156","The Princess Bride","1987-09-18"
"1157","Raiders of the Lost Ark","1981-06-12"
"1158","Brazil","1985-02-20"
"1159","Aliens","1986-07-18"
"1160","The Good, the Bad and the Ugly","1966-12-23"
"1161","Withnail & I","1987-01-01"
"1162","12 Angry Men","1957-03-25"
"1163","Lawrence of Arabia","1962-12-10"
"1164","A Clockwork Orange","1971-12-18"
"1165","To Kill a Mockingbird","1962-12-25"
"1166","Apocalypse Now","1979-08-15"
